feature,strategy,filter_auc,conf_auc,dir_acc,life_mae
Prev Close,momentum_ls,0.5309642001345366,0.5285651839075083,0.6749851455733809,1.3692922490934318
Prev Volume,ls_fade,0.4930442359285349,0.4929557606516588,0.648480371464753,1.4989109307488049
Prev Volume,momentum,0.5148992719942729,0.5136499372336374,0.6907681742372216,1.2719133797233864
Prev Volume,reversal,0.49186443792614076,0.490183212058212,0.6859925788497218,1.3894486232818701
Prev Volume,mean_reversion,0.5008656666425261,0.49914610060158005,0.6261818181818182,0.9822204284022881
Prev Volume,momentum_ls,0.5048646325507892,0.507688596934682,0.6749851455733809,1.3668456620566045
Prev Volume USD,ls_fade,0.5060631946023729,0.5071946375481551,0.648480371464753,1.503723862873551
Prev Volume USD,momentum,0.4929147769013544,0.49690396183083957,0.6907681742372216,1.2623065204428066
Prev Volume USD,reversal,0.524101577675842,0.5185450983527907,0.6859925788497218,1.3855733239370793
Prev Volume USD,mean_reversion,0.5174898609501738,0.5142309016452852,0.6269090909090909,0.976818552028231
Prev Volume USD,momentum_ls,0.5081305359579782,0.5087286460699111,0.6749851455733809,1.3604841262081597
Prev Trades Count,ls_fade,0.49546328483640745,0.49591858320352317,0.648480371464753,1.4951289373230363
Prev Trades Count,momentum,0.49483488930318936,0.4971050395642189,0.6907681742372216,1.2545614709511408
Prev Trades Count,reversal,0.5359493769493738,0.5370532144570606,0.6859925788497218,1.3773416161940697
Prev Trades Count,mean_reversion,0.49813400745944386,0.4972106707979996,0.624,0.9620474714018467
Prev Trades Count,momentum_ls,0.5071942308558849,0.5093820721806976,0.6749851455733809,1.3526523754638073
Prev Taker Buy Vol,ls_fade,0.49792207678002753,0.4967661577913327,0.648480371464753,1.499802526304515
Prev Taker Buy Vol,momentum,0.5086577520570235,0.5059904577098954,0.6907681742372216,1.2717447254721335
Prev Taker Buy Vol,reversal,0.48851873046880845,0.4868113305613306,0.6859925788497218,1.3929221038588842
Prev Taker Buy Vol,mean_reversion,0.493368880359212,0.49166711966369503,0.6254545454545455,0.9826435959556271
Prev Taker Buy Vol,momentum_ls,0.5162912963958338,0.5145871971742213,0.6749851455733809,1.366431446815903
